,Distance,Lattitude,Longtitude,YearBuilt,Landsize,BuildingArea,Rooms,Bedroom2,Bathroom,Price,CouncilArea,Regionname,SellerG,Type,Postcode,zipcode,airbnb_price_mean,airbnb_record_count,airbnb_weekly_price_mean,airbnb_monthly_price_mean,airbnb_number_of_reviews_sum,airbnb_number_of_reviews_mean,airbnb_review_scores_rating_min,airbnb_review_scores_rating_max,airbnb_review_scores_rating_mean
0,2.5,-37.7996,144.9984,,202.0,,2,2.0,1.0,1480000.0,Yarra,Northern Metropolitan,Biggin,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
1,2.5,-37.8079,144.9934,1900.0,156.0,79.0,2,2.0,1.0,1035000.0,Yarra,Northern Metropolitan,Biggin,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
2,2.5,-37.8093,144.9944,1900.0,134.0,150.0,3,3.0,2.0,1465000.0,Yarra,Northern Metropolitan,Biggin,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
3,2.5,-37.7969,144.9969,,94.0,,3,3.0,2.0,850000.0,Yarra,Northern Metropolitan,Biggin,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
4,2.5,-37.8072,144.9941,2014.0,120.0,142.0,4,3.0,1.0,1600000.0,Yarra,Northern Metropolitan,Nelson,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
5,2.5,-37.8041,144.9953,,181.0,,2,2.0,1.0,941000.0,Yarra,Northern Metropolitan,Jellis,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
6,2.5,-37.8024,144.9993,1910.0,245.0,210.0,3,4.0,2.0,1876000.0,Yarra,Northern Metropolitan,Nelson,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
7,2.5,-37.806,144.9954,1890.0,256.0,107.0,2,2.0,1.0,1636000.0,Yarra,Northern Metropolitan,Nelson,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
8,2.5,-37.8008,144.9973,,0.0,,1,1.0,1.0,300000.0,Yarra,Northern Metropolitan,Biggin,u,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
9,2.5,-37.801,144.9989,1900.0,220.0,75.0,2,3.0,1.0,1097000.0,Yarra,Northern Metropolitan,Biggin,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
10,2.5,-37.811,145.0067,,0.0,,2,2.0,2.0,700000.0,Yarra,Northern Metropolitan,Jellis,u,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
11,2.5,-37.8085,144.9964,2005.0,214.0,190.0,3,3.0,2.0,1350000.0,Yarra,Northern Metropolitan,Nelson,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
12,2.5,-37.8078,144.9965,2009.0,0.0,94.0,2,2.0,2.0,750000.0,Yarra,Northern Metropolitan,Biggin,u,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
13,2.5,-37.8084,144.9973,,195.0,,2,2.0,1.0,1172500.0,Yarra,Northern Metropolitan,Biggin,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
14,2.5,-37.8016,144.9988,,0.0,,1,1.0,1.0,441000.0,Yarra,Northern Metropolitan,Other,u,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
15,2.5,-37.809,144.9976,1890.0,238.0,97.0,2,2.0,1.0,1310000.0,Yarra,Northern Metropolitan,Jellis,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
16,2.5,-37.8056,144.993,1880.0,113.0,110.0,3,3.0,2.0,1200000.0,Yarra,Northern Metropolitan,Jellis,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
17,2.5,-37.8021,144.9965,1890.0,138.0,105.0,3,2.0,1.0,1176500.0,Yarra,Northern Metropolitan,Other,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
18,2.5,-37.8022,144.9975,,183.0,,3,3.0,1.0,955000.0,Yarra,Northern Metropolitan,Other,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
19,2.5,-37.8011,145.0004,1985.0,150.0,73.0,2,2.0,1.0,890000.0,Yarra,Northern Metropolitan,Biggin,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
20,2.5,-37.8073,144.9952,1900.0,780.0,135.0,4,4.0,2.0,1330000.0,Yarra,Northern Metropolitan,Other,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
21,2.5,-37.8093,144.9959,2010.0,0.0,,3,3.0,2.0,900000.0,Yarra,Northern Metropolitan,Other,t,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
22,2.5,-37.8015,144.9972,1970.0,0.0,60.0,2,2.0,1.0,500000.0,Yarra,Northern Metropolitan,Other,u,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
23,2.5,-37.8079,144.9977,2013.0,124.0,135.0,2,2.0,2.0,1100000.0,Yarra,Northern Metropolitan,Biggin,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
24,2.5,-37.808,144.994,1900.0,147.0,85.0,2,2.0,1.0,1315000.0,Yarra,Northern Metropolitan,Marshall,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
25,2.5,-37.8016,144.9988,,0.0,,1,1.0,1.0,426000.0,Yarra,Northern Metropolitan,Other,u,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
26,2.5,-37.8017,145.0001,2012.0,166.0,174.0,3,3.0,3.0,1447500.0,Yarra,Northern Metropolitan,Nelson,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
27,2.5,-37.8078,144.9965,,0.0,50.0,1,1.0,1.0,457000.0,Yarra,Northern Metropolitan,Jellis,u,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
28,2.5,-37.8005,144.9952,1920.0,98.0,128.0,2,2.0,2.0,1135000.0,Yarra,Northern Metropolitan,Nelson,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
29,2.5,-37.7994,144.9965,,0.0,,4,4.0,3.0,1542000.0,Yarra,Northern Metropolitan,Other,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
30,2.5,-37.805,144.9943,,147.0,18.0,3,3.0,2.0,1290000.0,Yarra,Northern Metropolitan,Biggin,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
31,2.5,-37.8007,144.9958,1950.0,168.0,124.0,3,3.0,1.0,1290000.0,Yarra,Northern Metropolitan,Biggin,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
32,2.5,-37.8055,144.9961,2013.0,0.0,50.0,1,1.0,1.0,470000.0,Yarra,Northern Metropolitan,Nelson,u,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
33,2.5,-37.8016,144.9956,1900.0,162.0,91.0,2,2.0,1.0,1180000.0,Yarra,Northern Metropolitan,Jellis,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
34,2.5,-37.8022,144.9954,1998.0,120.0,128.0,3,3.0,2.0,1195000.0,Yarra,Northern Metropolitan,Jellis,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
