C,Kernel,score,time[s]
0.001,linear,0.8868,124.80
0.001,poly,0.9352,180.00
0.001,rbf,0.8456,324.00
0.001,sigmoid,0.8660,343.20
0.010,linear,0.8848,108.00
0.010,poly,0.9250,138.00
0.010,rbf,0.8736,201.60
0.010,sigmoid,0.7998,216.00
0.100,linear,0.8848,111.60
0.100,poly,0.9146,110.40
0.100,rbf,0.8874,169.20
0.100,sigmoid,0.7948,195.60
1.000,linear,0.8850,135.60
1.000,poly,0.9122,132.00
1.000,rbf,0.8914,150.00
1.000,sigmoid,0.7946,210.00
10.000,linear,0.8848,230.40
10.000,poly,0.9086,213.60
10.000,rbf,0.8992,146.40
10.000,sigmoid,0.7946,205.20
100.000,linear,0.8850,786.00
100.000,poly,0.9068,871.20
100.000,rbf,0.9058,241.20
100.000,sigmoid,0.7946,176.40
