C,Kernel,score,time[s]
0.001,linear,0.9580,38.60
0.001,poly,0.9536,41.16
0.001,rbf,0.9150,74.40
0.001,sigmoid,0.9150,92.40
0.010,linear,0.9598,32.62
0.010,poly,0.9604,35.58
0.010,rbf,0.9562,66.00
0.010,sigmoid,0.9166,99.60
0.100,linear,0.9604,41.92
0.100,poly,0.9634,36.22
0.100,rbf,0.9618,55.02
0.100,sigmoid,0.9048,93.60
1.000,linear,0.9604,51.48
1.000,poly,0.9642,47.76
1.000,rbf,0.9636,51.44
1.000,sigmoid,0.9068,74.32
10.000,linear,0.9606,94.80
10.000,poly,0.9668,132.00
10.000,rbf,0.9664,72.00
10.000,sigmoid,0.9066,71.76
100.000,linear,0.9606,422.40
100.000,poly,0.9684,620.40
100.000,rbf,0.9678,172.80
100.000,sigmoid,0.9066,71.50
