name,nationality,age,height,pos_gral,position,preferred_foot,weak_foot,att_work_rate,def_work_rate,overall,potential,crossing,finishing,heading,short_passing,volleys,marking,standing_tackle,sliding_tackle,acceleration,sprint,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,dribbling,curve,fk_acc,long_passing,ball_control,aggression,interceptions,positioning,vision,penalties,composure,diving,handling,kicking_gk,positioning_gk,reflexes,speed_gk,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,ldm,cdm,rdm,lwb,rwb,lb,lcb,cb,rcb,rb,gk
S. Kerr,Australia,28,168,del,ST,1,4,1.0,1.0,91,91,70,93,91,78,92,44,39,30,89,85,90,91,82,91,91,87,86,89,90,76,68,64,92,70,24,95,79,75,92.0,7,12,8,16,13,,91,91,91,87,89,89,89,87,89,89,89,88,81,81,81,88,65,65,65,67,67,64,61,61,61,64,23
W. Renard,France,31,187,def,CB,1,3,1.0,0.5,91,91,51,70,96,84,55,93,94,91,65,62,53,90,34,85,86,75,93,65,69,65,58,87,85,88,90,70,59,75,84.0,7,14,17,11,15,,81,81,81,71,75,75,75,71,77,77,77,75,82,82,82,75,90,90,90,83,83,85,91,91,91,85,24
A. Morgan,United States,32,168,del,ST,0,4,1.0,0.0,90,90,71,95,86,91,87,41,43,39,88,89,83,84,67,90,81,87,81,83,87,68,70,82,93,53,46,92,75,88,92.0,11,11,10,10,11,,90,90,90,87,89,89,89,87,90,90,90,89,85,85,85,89,70,70,70,72,72,69,63,63,63,69,22
A. Hegerberg,Norway,26,176,del,ST,1,4,1.0,0.5,90,91,71,94,93,84,90,42,33,30,81,85,74,92,47,86,89,75,81,89,91,79,75,72,91,65,23,96,76,86,86.0,15,7,12,10,14,,91,91,91,87,89,89,89,87,90,90,90,88,81,81,81,88,64,64,64,66,66,63,59,59,59,63,23
L. Bronze,England,30,171,def,RB,1,3,1.0,1.0,89,89,87,73,82,85,66,89,91,89,85,85,86,89,82,85,92,90,90,86,79,88,81,80,85,82,85,73,73,62,86.0,10,14,16,8,15,,84,84,84,82,81,81,81,82,84,84,84,85,85,85,85,85,89,89,89,89,89,89,89,89,89,89,23
B. Mead,England,27,163,del,RW,1,4,1.0,1.0,89,89,90,92,68,88,73,61,69,68,80,81,69,90,84,87,74,83,84,89,91,81,88,74,90,31,73,94,89,68,82.0,11,15,17,16,10,,89,89,89,89,89,89,89,89,89,89,89,89,88,88,88,89,79,79,79,83,83,81,73,73,73,81,25
M. Katoto,France,23,177,del,ST,1,4,1.0,0.5,89,93,71,93,92,86,91,37,35,29,88,87,80,88,68,86,86,78,81,87,86,71,69,70,88,44,27,93,79,82,85.0,14,12,11,14,8,,92,92,92,86,88,88,88,86,89,89,89,87,81,81,81,87,63,63,63,66,66,63,57,57,57,63,23
K. Diani,France,27,168,del,RW,1,4,1.0,1.0,88,88,84,87,70,87,74,42,59,49,89,91,89,87,85,76,53,81,82,82,88,72,67,74,90,52,55,91,85,71,84.0,15,7,7,15,13,,88,88,88,88,87,87,87,88,88,88,88,88,85,85,85,88,73,73,73,76,76,73,66,66,66,73,23
V. Miedema,Netherlands,25,178,del,ST,1,4,1.0,1.0,88,89,64,88,83,79,89,22,30,23,86,81,80,90,73,89,75,85,85,88,89,76,73,56,92,70,27,95,69,75,91.0,14,16,17,14,17,,89,89,89,85,87,87,87,85,87,87,87,85,78,78,78,85,60,60,60,63,63,60,55,55,55,60,27
K. Little,Scotland,32,162,med,CM,1,4,1.0,1.0,88,88,78,78,56,89,82,38,80,74,82,77,85,89,88,85,75,93,53,84,90,77,65,81,92,65,82,90,89,78,84.0,12,5,6,10,6,,84,84,84,86,87,87,87,86,88,88,88,88,88,88,88,88,82,82,82,84,84,81,72,72,72,81,20
C. Endler,Chile,30,183,arq,GK,0,3,0.5,0.5,88,88,15,15,13,27,8,15,11,12,43,35,39,85,42,64,65,35,46,17,15,17,11,34,22,21,15,10,69,13,45.0,88,83,85,90,90,40.0,33,33,33,29,32,32,32,29,36,36,36,34,37,37,37,34,31,31,31,29,29,28,27,27,27,28,88
A. Popp,Germany,31,174,del,ST,0,5,1.0,1.0,87,87,74,87,92,84,89,45,52,48,78,79,71,89,70,89,88,80,82,87,82,73,73,59,86,84,59,90,79,86,81.0,12,14,13,7,14,,87,87,87,83,85,85,85,83,86,86,86,84,81,81,81,84,72,72,72,73,73,71,70,70,70,71,23
A. Henry,France,32,171,med,CDM,1,3,1.0,1.0,87,87,63,76,72,87,64,89,89,84,75,69,68,90,61,90,84,84,85,86,77,68,67,84,84,90,87,70,80,75,83.0,11,13,15,14,7,,82,82,82,77,80,80,80,77,83,83,83,81,86,86,86,81,87,87,87,85,85,85,87,87,87,85,23
